asset,curr,gran,high,rfc3339
BTC,EUR,Hour,29383.48,2021-01-21T00:00:00Z
BTC,EUR,Hour,29226.1,2021-01-21T01:00:00Z
BTC,EUR,Hour,28796.19,2021-01-21T02:00:00Z
BTC,EUR,Hour,28695.33,2021-01-21T03:00:00Z
BTC,EUR,Hour,28607.24,2021-01-21T04:00:00Z
BTC,EUR,Hour,28372.68,2021-01-21T05:00:00Z
BTC,EUR,Hour,28607.69,2021-01-21T06:00:00Z
BTC,EUR,Hour,28707.6,2021-01-21T07:00:00Z
BTC,EUR,Hour,28640.3,2021-01-21T08:00:00Z
BTC,EUR,Hour,27562.92,2021-01-21T09:00:00Z
BTC,EUR,Hour,27143.97,2021-01-21T10:00:00Z
BTC,EUR,Hour,27108.67,2021-01-21T11:00:00Z
BTC,EUR,Hour,26567.84,2021-01-21T12:00:00Z
BTC,EUR,Hour,26898.65,2021-01-21T13:00:00Z
BTC,EUR,Hour,26649.46,2021-01-21T14:00:00Z
BTC,EUR,Hour,25788.03,2021-01-21T15:00:00Z
BTC,EUR,Hour,25871.67,2021-01-21T16:00:00Z
BTC,EUR,Hour,25760.67,2021-01-21T17:00:00Z
BTC,EUR,Hour,26333.19,2021-01-21T18:00:00Z
BTC,EUR,Hour,26164.84,2021-01-21T19:00:00Z
BTC,EUR,Hour,26786.17,2021-01-21T20:00:00Z
